feature,FD001_PCA,FD001_NORM,FD002_PCA,FD002_NORM,FD003_PCA,FD003_NORM,FD004_PCA,FD004_NORM,mean_pct
PC2,48.31,,24.33,,37.85,,42.26,,38.1875
PC1,51.69,,22.08,,26.49,,25.98,,31.56
PC4,,,31.01,,,,,,31.01
PC3,,,22.58,,35.65,,31.76,,29.996666666666666
P15,,22.27,,4.28,,14.67,,8.37,12.3975
T2,,,,10.13,,,,9.94,10.035
P2,,,,6.77,,,,9.26,8.015
NRc,,6.7,,5.67,,6.34,,4.94,5.9125000000000005
phi,,6.64,,3.59,,6.83,,5.22,5.57
Ps30,,5.71,,5.25,,5.3,,5.52,5.445
Nc,,5.78,,5.09,,6.12,,4.32,5.327500000000001
NRf,,5.69,,3.94,,6.12,,4.28,5.0075
P30,,5.3,,3.54,,6.38,,4.68,4.975
farB,,,,6.51,,,,3.39,4.95
BPR,,4.99,,5.17,,5.26,,4.37,4.9475
PCNfR_dmd,,,,7.08,,,,2.58,4.83
Nf,,5.04,,4.14,,5.5,,4.61,4.8225
epr,,,,2.56,,8.02,,3.88,4.819999999999999
W32,,5.65,,4.18,,5.77,,3.19,4.6975
T50,,5.47,,4.63,,4.26,,4.32,4.67
T30,,5.5,,3.94,,5.1,,3.41,4.4875
htBleed,,5.01,,3.84,,4.73,,4.16,4.4350000000000005
W31,,5.14,,3.5,,5.22,,3.42,4.32
T24,,5.11,,4.04,,4.38,,3.67,4.300000000000001
Nf_dmd,,,,2.15,,,,2.47,2.31
