unit_number,rul,last_cycle,total_life_est
1,112,31,143
2,98,49,147
3,69,126,195
4,82,106,188
5,91,98,189
6,93,105,198
7,91,160,251
8,95,166,261
9,111,55,166
10,96,192,288
11,97,83,180
12,124,217,341
13,95,195,290
14,107,46,153
15,83,76,159
16,84,113,197
17,50,165,215
18,28,133,161
19,87,135,222
20,16,184,200
21,57,148,205
22,111,39,150
23,113,130,243
24,20,186,206
25,145,48,193
26,119,76,195
27,66,140,206
28,97,158,255
29,90,171,261
30,115,143,258
31,8,196,204
32,48,145,193
33,106,50,156
34,7,203,210
35,11,198,209
36,19,126,145
37,21,121,142
38,50,125,175
39,142,37,179
40,28,133,161
41,18,123,141
42,10,156,166
43,59,172,231
44,109,54,163
45,114,152,266
46,47,146,193
47,135,73,208
48,92,78,170
49,21,303,324
50,79,74,153
51,114,144,258
52,29,189,218
53,26,164,190
54,97,121,218
55,137,113,250
56,15,136,151
57,103,160,263
58,37,176,213
59,114,94,208
60,100,147,247
61,21,159,180
62,54,232,286
63,72,155,227
64,28,168,196
65,128,71,199
66,14,147,161
67,77,71,148
68,8,187,195
69,121,54,175
70,94,152,246
71,118,68,186
72,50,131,181
73,131,112,243
74,126,137,263
75,113,88,201
76,10,205,215
77,34,162,196
78,107,72,179
79,63,101,164
80,90,133,223
81,8,213,221
82,9,162,171
83,137,73,210
84,58,172,230
85,118,34,152
86,89,110,199
87,116,56,172
88,115,68,183
89,136,177,313
90,28,146,174
91,38,234,272
92,20,150,170
93,85,244,329
94,55,133,188
95,128,89,217
96,137,97,234
97,82,134,216
98,59,121,180
99,117,97,214
100,20,198,218
